day,hour,weather,num_fatalities
Sunday,11:00am-11:59am,Snow,4
Sunday,11:00am-11:59am,"Fog, Smog, Smoke",1
Sunday,11:00am-11:59am,Severe Crosswinds,0
Sunday,11:00am-11:59am,Other,0
Sunday,11:00am-11:59am,Cloudy,24
Sunday,11:00am-11:59am,Blowing Snow,0
Sunday,11:00am-11:59am,Freezing Rain or Drizzle,0
Sunday,12:00pm-12:59pm,Clear,125
Sunday,12:00pm-12:59pm,Rain,22
Sunday,12:00pm-12:59pm,Sleet or Hail,0
Sunday,12:00pm-12:59pm,Snow,5
Sunday,12:00pm-12:59pm,"Fog, Smog, Smoke",0
Sunday,12:00pm-12:59pm,Severe Crosswinds,1
Sunday,12:00pm-12:59pm,Other,0
Sunday,12:00pm-12:59pm,Cloudy,28
Sunday,12:00pm-12:59pm,Blowing Snow,0
Sunday,12:00pm-12:59pm,Freezing Rain or Drizzle,0
Sunday,1:00pm-1:59pm,Clear,149
Sunday,1:00pm-1:59pm,Rain,11
Sunday,1:00pm-1:59pm,Sleet or Hail,0
Sunday,1:00pm-1:59pm,Snow,5
Sunday,1:00pm-1:59pm,"Fog, Smog, Smoke",0
Sunday,1:00pm-1:59pm,Severe Crosswinds,0
Sunday,1:00pm-1:59pm,Other,0
Sunday,1:00pm-1:59pm,Cloudy,24
Sunday,1:00pm-1:59pm,Blowing Snow,0
Sunday,1:00pm-1:59pm,Freezing Rain or Drizzle,0
Sunday,2:00pm-2:59pm,Clear,156
Sunday,2:00pm-2:59pm,Rain,9
Sunday,2:00pm-2:59pm,Sleet or Hail,0
Sunday,2:00pm-2:59pm,Snow,1
Sunday,2:00pm-2:59pm,"Fog, Smog, Smoke",1
Sunday,2:00pm-2:59pm,Severe Crosswinds,2
Sunday,2:00pm-2:59pm,Other,0
Sunday,2:00pm-2:59pm,Cloudy,29
Sunday,2:00pm-2:59pm,Blowing Snow,0
Sunday,2:00pm-2:59pm,Freezing Rain or Drizzle,0
Sunday,3:00pm-3:59pm,Clear,184
Sunday,3:00pm-3:59pm,Rain,14
Sunday,3:00pm-3:59pm,Sleet or Hail,0
Sunday,3:00pm-3:59pm,Snow,1
Sunday,3:00pm-3:59pm,"Fog, Smog, Smoke",1
Sunday,3:00pm-3:59pm,Severe Crosswinds,2
Sunday,3:00pm-3:59pm,Other,0
Sunday,3:00pm-3:59pm,Cloudy,34
Sunday,3:00pm-3:59pm,Blowing Snow,0
Sunday,3:00pm-3:59pm,Freezing Rain or Drizzle,0
Sunday,4:00pm-4:59pm,Clear,190
Sunday,4:00pm-4:59pm,Rain,14
Sunday,4:00pm-4:59pm,Sleet or Hail,0
Sunday,4:00pm-4:59pm,Snow,2
Sunday,4:00pm-4:59pm,"Fog, Smog, Smoke",0
Sunday,4:00pm-4:59pm,Severe Crosswinds,0
Sunday,4:00pm-4:59pm,Other,0
Sunday,4:00pm-4:59pm,Cloudy,33
Sunday,4:00pm-4:59pm,Blowing Snow,0
Sunday,4:00pm-4:59pm,Freezing Rain or Drizzle,0
Sunday,5:00pm-5:59pm,Clear,199
Sunday,5:00pm-5:59pm,Rain,20
